threshold,precision,recall,f1,accuracy,specificity,fpr,fnr,tn,fp,fn,tp,total_cost,model,calibration
0.76,0.9282051282051282,0.11104294478527607,0.19835616438356163,0.817125,0.9978021978021978,0.00219780219780219,0.8889570552147239,6356,14,1449,181,7259.0,HistGradientBoosting+sigmoid,sigmoid
0.77,0.9267015706806283,0.10858895705521472,0.1943986820428336,0.816625,0.9978021978021978,0.00219780219780219,0.8914110429447852,6356,14,1453,177,7279.0,HistGradientBoosting+sigmoid,sigmoid
0.78,0.9259259259259259,0.10736196319018405,0.19241341396371636,0.816375,0.9978021978021978,0.00219780219780219,0.8926380368098159,6356,14,1455,175,7289.0,HistGradientBoosting+sigmoid,sigmoid
0.79,0.9301075268817204,0.10613496932515337,0.1905286343612335,0.81625,0.9979591836734694,0.0020408163265306367,0.8938650306748466,6357,13,1457,173,7298.0,HistGradientBoosting+sigmoid,sigmoid
0.8,0.9322033898305084,0.10122699386503067,0.18262313226342003,0.815375,0.998116169544741,0.0018838304552589724,0.8987730061349694,6358,12,1465,165,7337.0,HistGradientBoosting+sigmoid,sigmoid
0.81,0.9393939393939394,0.0950920245398773,0.17270194986072424,0.814375,0.9984301412872841,0.0015698587127158659,0.9049079754601227,6360,10,1475,155,7385.0,HistGradientBoosting+sigmoid,sigmoid
0.82,0.9556962025316456,0.09263803680981596,0.16890380313199108,0.81425,0.9989010989010989,0.001098901098901095,0.907361963190184,6363,7,1479,151,7402.0,HistGradientBoosting+sigmoid,sigmoid
0.83,0.974025974025974,0.09202453987730061,0.1681614349775785,0.8145,0.9993720565149137,0.0006279434850863241,0.9079754601226994,6366,4,1480,150,7404.0,HistGradientBoosting+sigmoid,sigmoid
0.84,0.98,0.09018404907975461,0.16516853932584272,0.81425,0.9995290423861852,0.00047095761381477086,0.9098159509202454,6367,3,1483,147,7418.0,HistGradientBoosting+sigmoid,sigmoid
0.85,0.9863945578231292,0.08895705521472393,0.16319639842431066,0.814125,0.9996860282574568,0.0003139717425432176,0.911042944785276,6368,2,1485,145,7427.0,HistGradientBoosting+sigmoid,sigmoid
0.86,0.9863945578231292,0.08895705521472393,0.16319639842431066,0.814125,0.9996860282574568,0.0003139717425432176,0.911042944785276,6368,2,1485,145,7427.0,HistGradientBoosting+sigmoid,sigmoid
0.87,0.986013986013986,0.08650306748466258,0.15905245346869715,0.813625,0.9996860282574568,0.0003139717425432176,0.9134969325153375,6368,2,1489,141,7447.0,HistGradientBoosting+sigmoid,sigmoid
0.88,0.9928057553956835,0.08466257668711656,0.15602035048049745,0.813375,0.9998430141287284,0.00015698587127155328,0.9153374233128835,6369,1,1492,138,7461.0,HistGradientBoosting+sigmoid,sigmoid
0.89,0.9927536231884058,0.08404907975460123,0.15497737556561086,0.81325,0.9998430141287284,0.00015698587127155328,0.9159509202453988,6369,1,1493,137,7466.0,HistGradientBoosting+sigmoid,sigmoid
0.9,0.9924812030075187,0.08098159509202454,0.14974475326148612,0.812625,0.9998430141287284,0.00015698587127155328,0.9190184049079755,6369,1,1498,132,7491.0,HistGradientBoosting+sigmoid,sigmoid
0.91,0.9922480620155039,0.0785276073619632,0.14553723706651508,0.812125,0.9998430141287284,0.00015698587127155328,0.9214723926380368,6369,1,1502,128,7511.0,HistGradientBoosting+sigmoid,sigmoid
0.92,0.9913793103448276,0.0705521472392638,0.13172966781214204,0.8105,0.9998430141287284,0.00015698587127155328,0.9294478527607362,6369,1,1515,115,7576.0,HistGradientBoosting+sigmoid,sigmoid
0.93,0.9895833333333334,0.05828220858895705,0.11008111239860949,0.808,0.9998430141287284,0.00015698587127155328,0.941717791411043,6369,1,1535,95,7676.0,HistGradientBoosting+sigmoid,sigmoid
0.94,0.9852941176470589,0.041104294478527606,0.07891637220259128,0.8045,0.9998430141287284,0.00015698587127155328,0.9588957055214724,6369,1,1563,67,7816.0,HistGradientBoosting+sigmoid,sigmoid
0.95,1.0,0.026993865030674847,0.05256869772998805,0.80175,1.0,0.0,0.9730061349693252,6370,0,1586,44,7930.0,HistGradientBoosting+sigmoid,sigmoid
